a,b,c,d,e,f,g,h,i,j,k,l
7.175505053872413555e+03,6.457954548485172381e+02,2.242345329335129378e+01,2.690814395202155040e+00,1.793876263468103360e+01,9.686931822727758572e+02,3.228977274242586191e+02,1.121172664667564631e+08,9.026372766230897682e+00,1.793876263468103249e-01,8.969381317340517374e-04,4.484690658670258472e+02
6.183505053872413555e+03,6.429154548485171290e+02,2.222345329335129449e+01,2.654814395202155008e+00,1.785876263468103176e+01,9.600531822727758708e+02,3.185777274242585690e+02,1.116172664667564631e+08,8.945864446230899603e+00,1.769876263468103395e-01,8.929381317340516402e-04,4.444690658670258472e+02
6.808494946127586445e+03,6.400354548485172472e+02,2.202345329335129165e+01,2.618814395202154977e+00,1.777876263468103346e+01,9.514131822727758845e+02,3.142577274242586327e+02,1.111172664667564631e+08,8.865356126230897971e+00,1.745876263468103262e-01,8.889381317340517598e-04,4.404690658670258472e+02
7.800494946127586445e+03,6.371554548485171381e+02,2.182345329335129236e+01,2.582814395202155389e+00,1.769876263468103161e+01,9.427731822727757844e+02,3.099377274242586395e+02,1.106172664667564631e+08,8.784847806230898115e+00,1.721876263468103407e-01,8.849381317340516626e-04,4.364690658670258472e+02
8.792494946127586445e+03,6.342754548485172563e+02,2.162345329335129307e+01,2.546814395202154913e+00,1.761876263468103332e+01,9.341331822727757981e+02,3.056177274242585895e+02,1.101172664667564631e+08,8.704339486230898260e+00,1.697876263468103275e-01,8.809381317340516738e-04,4.324690658670258472e+02
9.784494946127586445e+03,6.313954548485171472e+02,2.142345329335129378e+01,2.510814395202154881e+00,1.753876263468103502e+01,9.254931822727758117e+02,3.012977274242585963e+02,1.096172664667564631e+08,8.623831166230898404e+00,1.673876263468103420e-01,8.769381317340516849e-04,4.284690658670258472e+02
9.223505053872415374e+03,6.285154548485172654e+02,2.122345329335129094e+01,2.474814395202155293e+00,1.745876263468103318e+01,9.168531822727758254e+02,2.969777274242586032e+02,1.091172664667564631e+08,8.543322846230898548e+00,1.649876263468103288e-01,8.729381317340516961e-04,4.244690658670258472e+02
8.231505053872413555e+03,6.256354548485171563e+02,2.102345329335129165e+01,2.438814395202155261e+00,1.737876263468103488e+01,9.082131822727758390e+02,2.926577274242586100e+02,1.086172664667564631e+08,8.462814526230898693e+00,1.625876263468103433e-01,8.689381317340517073e-04,4.204690658670258472e+02
7.239505053872413555e+03,6.227554548485172745e+02,2.082345329335129236e+01,2.402814395202155229e+00,1.729876263468103303e+01,8.995731822727757390e+02,2.883377274242586168e+02,1.081172664667564631e+08,8.382306206230897061e+00,1.601876263468103301e-01,8.649381317340517185e-04,4.164690658670257903e+02
6.247505053872414464e+03,6.198754548485172791e+02,2.062345329335129307e+01,2.366814395202155197e+00,1.721876263468103474e+01,8.909331822727758663e+02,2.840177274242586236e+02,1.076172664667564631e+08,8.301797886230898982e+00,1.577876263468103446e-01,8.609381317340517297e-04,4.124690658670258472e+02
6.744494946127586445e+03,6.169954548485172836e+02,2.042345329335129023e+01,2.330814395202155609e+00,1.713876263468103289e+01,8.822931822727757663e+02,2.796977274242586304e+02,1.071172664667564631e+08,8.221289566230897350e+00,1.553876263468103591e-01,8.569381317340517409e-04,4.084690658670258472e+02
7.736494946127586445e+03,6.141154548485171745e+02,2.022345329335129449e+01,2.294814395202155133e+00,1.705876263468103460e+01,8.736531822727758936e+02,2.753777274242585804e+02,1.066172664667564631e+08,8.140781246230899271e+00,1.529876263468103181e-01,8.529381317340516437e-04,4.044690658670258472e+02
8.728494946127586445e+03,6.112354548485171790e+02,2.002345329335129165e+01,2.258814395202156433e+00,1.697876263468103275e+01,8.650131822727757935e+02,2.710577274242587578e+02,1.061172664667564631e+08,8.060272926230897639e+00,1.505876263468104159e-01,8.489381317340516549e-04,4.004690658670258472e+02
9.720494946127586445e+03,6.083554548485172973e+02,1.982345329335129236e+01,2.277185604797844487e+00,1.689876263468103446e+01,8.563731822727758072e+02,2.732622725757413491e+02,1.056172664667564780e+08,7.979764606230898671e+00,1.518123736531896140e-01,8.449381317340517745e-04,3.964690658670258472e+02
9.287505053872411736e+03,6.054754548485171881e+02,1.962345329335129307e+01,2.313185604797844963e+00,1.681876263468103261e+01,8.477331822727758208e+02,2.775822725757413991e+02,1.051172664667564631e+08,7.899256286230897928e+00,1.542123736531896550e-01,8.409381317340516773e-04,3.924690658670258472e+02
8.295505053872411736e+03,6.025954548485171927e+02,1.942345329335129378e+01,2.349185604797844995e+00,1.673876263468103431e+01,8.390931822727759481e+02,2.819022725757413923e+02,1.046172664667564631e+08,7.818747966230899848e+00,1.566123736531896682e-01,8.369381317340516884e-04,3.884690658670259040e+02
7.303505053872411736e+03,5.997154548485171972e+02,1.922345329335129094e+01,2.385185604797844583e+00,1.665876263468103247e+01,8.304531822727758481e+02,2.862222725757413855e+02,1.041172664667564481e+08,7.738239646230898217e+00,1.590123736531896537e-01,8.329381317340516996e-04,3.844690658670258472e+02
6.311505053872415374e+03,5.968354548485172018e+02,1.902345329335129165e+01,2.421185604797844615e+00,1.657876263468103417e+01,8.218131822727758617e+02,2.905422725757413787e+02,1.036172664667564631e+08,7.657731326230898361e+00,1.614123736531896391e-01,8.289381317340517108e-04,3.804690658670258472e+02
6.680494946127586445e+03,5.939554548485172063e+02,1.882345329335130302e+01,2.457185604797844647e+00,1.649876263468103588e+01,8.131731822727762165e+02,2.948622725757413718e+02,1.031172664667564631e+08,7.577223006230902058e+00,1.638123736531896246e-01,8.249381317340517220e-04,3.764690658670260177e+02
7.672494946127588264e+03,5.910754548485172108e+02,1.887654670664869982e+01,2.493185604797845123e+00,1.641876263468103403e+01,8.154668177272237699e+02,2.991822725757413650e+02,1.026172664667564631e+08,7.598595313769097359e+00,1.662123736531896656e-01,8.209381317340517332e-04,3.775309341329739823e+02
8.664494946127584626e+03,5.881954548485172154e+02,1.907654670664870622e+01,2.529185604797844711e+00,1.633876263468103218e+01,8.241068177272240973e+02,3.035022725757413582e+02,1.021172664667564481e+08,7.679103633769100767e+00,1.686123736531896511e-01,8.169381317340516360e-04,3.815309341329741528e+02
9.656494946127586445e+03,5.853154548485172199e+02,1.927654670664870906e+01,2.565185604797844743e+00,1.625876263468103389e+01,8.327468177272241974e+02,3.078222725757413514e+02,1.016172664667564631e+08,7.759611953769101511e+00,1.710123736531896366e-01,8.129381317340517556e-04,3.855309341329741528e+02
9.351505053872417193e+03,5.824354548485172245e+02,1.947654670664870480e+01,2.601185604797844775e+00,1.617876263468103559e+01,8.413868177272240700e+02,3.121422725757414014e+02,1.011172664667564631e+08,7.840120273769100478e+00,1.734123736531896776e-01,8.089381317340517668e-04,3.895309341329741528e+02
8.359505053872415374e+03,5.795554548485172290e+02,1.967654670664870409e+01,2.637185604797844807e+00,1.609876263468103375e+01,8.500268177272240564e+02,3.164622725757413946e+02,1.006172664667564631e+08,7.920628593769100334e+00,1.758123736531896630e-01,8.049381317340516696e-04,3.935309341329740960e+02
7.367505053872417193e+03,5.766754548485172336e+02,1.987654670664870693e+01,2.673185604797844839e+00,1.601876263468103190e+01,8.586668177272240428e+02,3.207822725757413878e+02,1.001172664667564631e+08,8.001136913769100190e+00,1.782123736531896485e-01,8.009381317340516808e-04,3.975309341329740960e+02
